년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원),열대야일수,폭염일수,한파일수
2021,1,광주광역시,전체,758548,259,28742,0,0,1
2021,2,광주광역시,전체,760593,251,27180,0,0,0
2021,3,광주광역시,전체,760166,217,21295,0,0,0
2021,4,광주광역시,전체,761634,224,22602,0,0,0
2021,5,광주광역시,전체,763368,212,20515,0,0,0
2021,6,광주광역시,전체,763947,221,21817,0,0,0
2021,7,광주광역시,전체,760941,250,25704,7,9,0
2021,8,광주광역시,전체,761518,333,38519,1,5,0
2021,9,광주광역시,전체,762210,270,28623,0,0,0
2021,10,광주광역시,전체,763402,225,23680,0,0,0
2021,11,광주광역시,전체,764926,224,23578,0,0,0
2021,12,광주광역시,전체,770519,228,24425,0,0,0
2022,1,광주광역시,전체,774491,248,28254,0,0,0
2022,2,광주광역시,전체,774582,248,28314,0,0,0
2022,3,광주광역시,전체,775540,220,23161,0,0,0
2022,4,광주광역시,전체,776955,225,23564,0,0,0
2022,5,광주광역시,전체,778855,205,20943,0,0,0
2022,6,광주광역시,전체,779208,214,22148,2,4,0
2022,7,광주광역시,전체,779834,270,29691,10,9,0
2022,8,광주광역시,전체,779873,321,35864,14,4,0
2022,9,광주광역시,전체,780579,277,30120,1,2,0
2022,10,광주광역시,전체,781375,218,23700,0,0,0
2022,11,광주광역시,전체,782606,214,24150,0,0,0
2022,12,광주광역시,전체,782439,225,25618,0,0,0
2023,1,광주광역시,전체,783091,247,31153,0,0,1
2023,2,광주광역시,전체,783318,241,32016,0,0,0
2023,3,광주광역시,전체,786074,207,25782,0,0,0
2023,4,광주광역시,전체,787353,215,27077,0,0,0
2023,5,광주광역시,전체,789482,205,25451,0,0,0
2023,6,광주광역시,전체,790308,214,28225,0,2,0
2024,1,광주광역시,전체,797850,242,34194,0,0,0
2024,2,광주광역시,전체,798544,240,33731,0,0,0
2024,3,광주광역시,전체,799295,218,29525,0,0,0
2024,4,광주광역시,전체,799445,219,29743,0,0,0
2024,5,광주광역시,전체,799973,204,26982,0,0,0
2024,6,광주광역시,전체,801321,213,29000,0,3,0
2024,7,광주광역시,전체,800985,255,34828,15,5,0
2024,8,광주광역시,전체,802125,355,25572,16,21,0
2024,9,광주광역시,전체,802173,353,27014,6,8,0
2024,10,광주광역시,전체,802460,259,38387,0,0,0
2024,11,광주광역시,전체,804343,212,28318,0,0,0
2024,12,광주광역시,전체,803895,222,30067,0,0,0
2023,7,광주광역시,전체,791540,249,33280,5,6,0
2023,8,광주광역시,전체,794785,327,46807,9,12,0
2023,9,광주광역시,전체,795186,298,43101,0,0,0
2023,10,광주광역시,전체,795538,220,29852,0,0,0
2023,11,광주광역시,전체,796687,211,28080,0,0,0
