Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2023-10-01,Busan,1764332,222,30677,0,0,0,2023,10,18.3,23.3,14.9,1009.3,1017.5,10.8,7.6,52,4.2,171.8,2.8,9.3,3.5,237.4,67.64,491.43,8.6,22.9
2023-11-01,Busan,1766209,211,28233,0,0,0,2023,11,11.8,16.7,7.9,1011.5,1019.9,7.7,0.5,49,28.5,127.7,3.5,13.3,2.8,216.9,69.81,361.4,2.2,14.3
2023-12-01,Busan,1766819,223,30527,0,0,0,2023,12,6.4,10.8,2.7,1014.4,1023.0,5.7,-3.3,52,102.8,89.2,3.2,10.7,3.8,195.9,64.19,298.41,-2.8,8.9
2024-01-01,Busan,1768983,243,34755,0,0,0,2024,1,5.1,9.8,1.3,1014.1,1022.8,5.0,-4.5,53,40.6,90.2,3.2,9.7,3.3,214.3,68.49,342.85,-4.3,8.6
2024-02-01,Busan,1772699,242,34557,0,0,0,2024,2,7.4,11.5,4.2,1014.3,1022.9,7.2,1.4,68,137.1,73.0,3.5,9.7,6.1,111.5,35.17,278.68,0.8,10.5
2024-03-01,Busan,1776944,219,29933,0,0,0,2024,3,9.6,14.1,5.6,1008.7,1017.1,7.1,0.6,57,102.0,136.6,3.7,13.4,4.5,214.2,57.61,507.97,0.7,12.1
2024-04-01,Busan,1777635,220,30140,0,0,0,2024,4,15.9,20.2,12.6,1005.1,1013.3,12.2,9.6,68,166.8,128.6,2.7,8.4,5.7,183.6,46.71,527.18,7.2,17.6
2024-05-01,Busan,1778034,204,27059,0,0,0,2024,5,18.6,23.3,14.7,1004.6,1012.7,13.8,11.3,65,148.4,203.5,3.5,10.4,4.3,267.2,61.47,743.56,9.7,21.2
2024-06-01,Busan,1780456,213,28761,0,0,0,2024,6,22.6,26.4,19.7,999.7,1007.6,20.1,17.3,74,173.7,148.7,3.0,15.8,6.4,192.3,44.28,594.02,16.2,26.0
2024-07-01,Busan,1781988,250,34155,10,0,0,2024,7,26.0,29.0,23.8,999.7,1007.5,28.7,23.3,86,362.4,149.7,4.4,14.9,6.9,163.0,36.87,546.79,22.3,29.6
2024-08-01,Busan,1783171,359,43332,29,15,0,2024,8,29.1,32.9,26.3,998.5,1006.3,30.1,24.1,75,86.5,200.4,3.2,11.0,4.3,269.6,64.7,707.85,22.6,34.9
2024-09-01,Busan,1784735,355,44686,16,7,0,2024,9,26.7,30.8,23.9,1004.5,1012.4,26.2,21.6,75,420.3,152.1,2.8,10.6,4.9,195.5,52.6,516.15,19.9,29.7
2024-10-01,Busan,1785593,251,37009,0,0,0,2024,10,19.5,23.8,16.4,1010.6,1018.8,16.3,13.9,71,208.8,117.0,3.1,12.6,6.4,136.3,38.93,355.89,12.1,19.8
